K,n_runs,n_finished_at_K,top1_in_top33pct@K,top3_in_top33pct@K,top1_in_top50pct@K,top3_in_top50pct@K,top1_in_top67pct@K,top3_in_top67pct@K,spearman,project,group,n_runs_total
5,10,9,0,1,0,1,1,2,0.11515151515151514,Lorenz_INDpartial_NDsweep_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise001__ndelays_sweep,10
10,10,9,0,1,0,2,1,3,0.5393939393939393,Lorenz_INDpartial_NDsweep_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise001__ndelays_sweep,10
15,10,8,1,2,1,2,1,3,0.8424242424242423,Lorenz_INDpartial_NDsweep_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise001__ndelays_sweep,10
20,10,10,1,3,1,3,1,3,0.8424242424242423,Lorenz_INDpartial_NDsweep_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise001__ndelays_sweep,10
30,10,8,1,2,1,3,1,3,0.8909090909090909,Lorenz_INDpartial_NDsweep_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise001__ndelays_sweep,10
50,10,8,1,3,1,3,1,3,0.9878787878787878,Lorenz_INDpartial_NDsweep_D1_NormTrue__JacobianODE,lorenz_partial_additive_mse_uniform_p30_obsnoise001__ndelays_sweep,10
5,9,9,0,2,0,2,0,2,0.016666666666666666,Lorenz_INDpartial_N100_D1_NormTrue_T7__JacobianODE,lorenz_partial_100d_7lat_additive_mse__lc_sweep,9
10,9,9,1,1,1,3,1,3,0.7,Lorenz_INDpartial_N100_D1_NormTrue_T7__JacobianODE,lorenz_partial_100d_7lat_additive_mse__lc_sweep,9
15,9,9,0,1,1,3,1,3,0.6833333333333333,Lorenz_INDpartial_N100_D1_NormTrue_T7__JacobianODE,lorenz_partial_100d_7lat_additive_mse__lc_sweep,9
20,9,9,0,2,1,3,1,3,0.7333333333333334,Lorenz_INDpartial_N100_D1_NormTrue_T7__JacobianODE,lorenz_partial_100d_7lat_additive_mse__lc_sweep,9
